frame_idx,cam_idx,class_id,class_name,confidence
0,0,15,redbull,0.856476366519928
0,0,43,campbells_chicken_noodle_soup,0.3028157949447632
0,0,39,crystal_hot_sauce,0.18139837682247162
0,1,21,dr_pepper,0.07885990291833878
0,3,39,crystal_hot_sauce,0.8786835670471191
0,3,15,redbull,0.0733288899064064
0,4,21,dr_pepper,0.925326943397522
0,4,15,redbull,0.1451365202665329
0,4,39,crystal_hot_sauce,0.060551032423973083
10,0,15,redbull,0.8965334296226501
10,0,43,campbells_chicken_noodle_soup,0.23819752037525177
10,0,39,crystal_hot_sauce,0.13745227456092834
10,1,21,dr_pepper,0.13056978583335876
10,3,39,crystal_hot_sauce,0.9181006550788879
10,3,15,redbull,0.2575687766075134
10,3,21,dr_pepper,0.11353056132793427
10,4,21,dr_pepper,0.9297397136688232
10,4,43,campbells_chicken_noodle_soup,0.4079642593860626
10,4,39,crystal_hot_sauce,0.40760040283203125
10,4,15,redbull,0.17515835165977478
20,0,15,redbull,0.8870685696601868
20,0,43,campbells_chicken_noodle_soup,0.31530091166496277
20,0,39,crystal_hot_sauce,0.0800560787320137
20,1,21,dr_pepper,0.07979481667280197
20,2,39,crystal_hot_sauce,0.08635403215885162
20,2,43,campbells_chicken_noodle_soup,0.08601213246583939
20,3,39,crystal_hot_sauce,0.9076597094535828
20,3,15,redbull,0.3291177451610565
20,3,21,dr_pepper,0.19300606846809387
20,4,21,dr_pepper,0.9315695762634277
20,4,39,crystal_hot_sauce,0.2249320149421692
20,4,15,redbull,0.18636354804039001
20,4,43,campbells_chicken_noodle_soup,0.08017819374799728
30,0,15,redbull,0.9079707264900208
30,0,39,crystal_hot_sauce,0.17661602795124054
30,0,43,campbells_chicken_noodle_soup,0.06875884532928467
30,1,21,dr_pepper,0.07017654925584793
30,2,39,crystal_hot_sauce,0.10551988333463669
30,2,43,campbells_chicken_noodle_soup,0.0688941478729248
30,3,39,crystal_hot_sauce,0.8994446992874146
30,3,15,redbull,0.23797357082366943
30,3,21,dr_pepper,0.10129139572381973
30,4,21,dr_pepper,0.9302827715873718
30,4,39,crystal_hot_sauce,0.3023340106010437
30,4,43,campbells_chicken_noodle_soup,0.2800981402397156
30,4,15,redbull,0.20125547051429749
40,0,15,redbull,0.8995370864868164
40,0,43,campbells_chicken_noodle_soup,0.2777023911476135
40,0,39,crystal_hot_sauce,0.2300075888633728
40,1,21,dr_pepper,0.0632653459906578
40,2,39,crystal_hot_sauce,0.26539021730422974
40,2,43,campbells_chicken_noodle_soup,0.17445358633995056
40,3,39,crystal_hot_sauce,0.9122107625007629
40,3,21,dr_pepper,0.2833724319934845
40,3,15,redbull,0.15312187373638153
40,4,21,dr_pepper,0.929182767868042
40,4,15,redbull,0.2057586908340454
40,4,39,crystal_hot_sauce,0.19845370948314667
40,4,43,campbells_chicken_noodle_soup,0.1441451460123062
50,0,15,redbull,0.9108567833900452
50,0,43,campbells_chicken_noodle_soup,0.28525665402412415
50,0,39,crystal_hot_sauce,0.12868593633174896
50,1,21,dr_pepper,0.06574469059705734
50,2,39,crystal_hot_sauce,0.08635096251964569
50,2,43,campbells_chicken_noodle_soup,0.052149221301078796
50,3,39,crystal_hot_sauce,0.896121084690094
50,3,21,dr_pepper,0.12454918771982193
50,3,15,redbull,0.07715244591236115
50,4,21,dr_pepper,0.9310568571090698
50,4,39,crystal_hot_sauce,0.4648245573043823
50,4,43,campbells_chicken_noodle_soup,0.39264094829559326
50,4,15,redbull,0.21040543913841248
60,0,15,redbull,0.9046418070793152
60,0,43,campbells_chicken_noodle_soup,0.37036287784576416
60,0,39,crystal_hot_sauce,0.1724100410938263
60,1,21,dr_pepper,0.09984198957681656
60,2,43,campbells_chicken_noodle_soup,0.22943928837776184
60,2,39,crystal_hot_sauce,0.13854742050170898
60,3,39,crystal_hot_sauce,0.9020872116088867
60,3,21,dr_pepper,0.1309080570936203
60,4,21,dr_pepper,0.9272188544273376
60,4,15,redbull,0.21360673010349274
60,4,43,campbells_chicken_noodle_soup,0.11392737179994583
70,0,15,redbull,0.904984176158905
70,0,43,campbells_chicken_noodle_soup,0.5555537343025208
70,0,39,crystal_hot_sauce,0.18390335142612457
70,1,21,dr_pepper,0.08318831771612167
70,2,43,campbells_chicken_noodle_soup,0.12684103846549988
70,2,39,crystal_hot_sauce,0.07987833768129349
70,3,39,crystal_hot_sauce,0.9013835787773132
70,3,21,dr_pepper,0.1759791374206543
70,3,15,redbull,0.07239651679992676
70,4,21,dr_pepper,0.9295485615730286
70,4,39,crystal_hot_sauce,0.3265259563922882
70,4,15,redbull,0.21465738117694855
70,4,43,campbells_chicken_noodle_soup,0.103457972407341
80,0,15,redbull,0.8975220322608948
80,0,43,campbells_chicken_noodle_soup,0.35301917791366577
80,0,39,crystal_hot_sauce,0.15119165182113647
80,1,21,dr_pepper,0.05648229643702507
80,2,39,crystal_hot_sauce,0.1053638607263565
80,3,39,crystal_hot_sauce,0.9132904410362244
80,3,21,dr_pepper,0.15359075367450714
80,3,15,redbull,0.08084678649902344
80,4,21,dr_pepper,0.9293932318687439
80,4,39,crystal_hot_sauce,0.5911807417869568
80,4,15,redbull,0.22739215195178986
80,4,43,campbells_chicken_noodle_soup,0.15567712485790253
90,0,15,redbull,0.8900034427642822
90,0,43,campbells_chicken_noodle_soup,0.206393763422966
90,0,39,crystal_hot_sauce,0.14416176080703735
90,1,21,dr_pepper,0.07320473343133926
90,2,43,campbells_chicken_noodle_soup,0.17440654337406158
90,3,39,crystal_hot_sauce,0.898703932762146
90,3,15,redbull,0.3026486337184906
90,3,21,dr_pepper,0.17826487123966217
90,4,21,dr_pepper,0.9266208410263062
90,4,39,crystal_hot_sauce,0.25897443294525146
90,4,15,redbull,0.2389993667602539
90,4,43,campbells_chicken_noodle_soup,0.21437358856201172
100,0,15,redbull,0.8934224247932434
100,0,43,campbells_chicken_noodle_soup,0.4645719826221466
100,0,39,crystal_hot_sauce,0.20806226134300232
100,1,21,dr_pepper,0.06987543404102325
100,2,39,crystal_hot_sauce,0.07728075236082077
100,2,43,campbells_chicken_noodle_soup,0.052791766822338104
100,3,39,crystal_hot_sauce,0.926781952381134
100,3,21,dr_pepper,0.16553077101707458
100,3,15,redbull,0.10033635795116425
100,4,21,dr_pepper,0.9283363223075867
100,4,15,redbull,0.21290035545825958
100,4,43,campbells_chicken_noodle_soup,0.18795695900917053
110,0,15,redbull,0.8754732012748718
110,0,43,campbells_chicken_noodle_soup,0.5027813911437988
110,0,39,crystal_hot_sauce,0.14388282597064972
110,1,21,dr_pepper,0.05953948572278023
110,2,39,crystal_hot_sauce,0.054359499365091324
110,3,39,crystal_hot_sauce,0.9247389435768127
110,3,21,dr_pepper,0.11506741493940353
110,3,15,redbull,0.07260558009147644
110,4,21,dr_pepper,0.927734911441803
110,4,15,redbull,0.18183022737503052
110,4,43,campbells_chicken_noodle_soup,0.14361833035945892
120,0,15,redbull,0.8685572147369385
120,0,43,campbells_chicken_noodle_soup,0.445846289396286
120,0,39,crystal_hot_sauce,0.18911130726337433
120,2,39,crystal_hot_sauce,0.1356230080127716
120,3,39,crystal_hot_sauce,0.9115905165672302
120,3,21,dr_pepper,0.1399475485086441
120,3,15,redbull,0.06265620142221451
120,4,21,dr_pepper,0.9300217032432556
120,4,39,crystal_hot_sauce,0.4179570972919464
120,4,15,redbull,0.20971974730491638
120,4,43,campbells_chicken_noodle_soup,0.10821139067411423
130,0,15,redbull,0.8957421779632568
130,0,43,campbells_chicken_noodle_soup,0.6440666913986206
130,2,39,crystal_hot_sauce,0.10423474758863449
130,3,39,crystal_hot_sauce,0.9111064672470093
130,3,21,dr_pepper,0.23531517386436462
130,3,15,redbull,0.08145105093717575
130,4,21,dr_pepper,0.9311444163322449
130,4,43,campbells_chicken_noodle_soup,0.2466718852519989
130,4,15,redbull,0.21209421753883362
130,4,39,crystal_hot_sauce,0.05054795369505882
140,0,15,redbull,0.8879759907722473
