frame_idx,class_id,class_name,count
0,0,aunt_jemima_original_syrup,1
0,40,tapatio_hot_sauce,1
0,9,listerine_green,1
0,15,redbull,1
0,16,mom_to_mom_sweet_potato_corn_apple,1
0,17,a1_steak_sauce,1
0,58,coca_cola_glass_bottle,1
2,0,aunt_jemima_original_syrup,1
2,5,hersheys_cocoa,1
2,40,tapatio_hot_sauce,1
2,9,listerine_green,1
2,11,white_rain_body_wash,1
2,12,pringles_bbq,1
2,43,campbells_chicken_noodle_soup,1
2,15,redbull,1
2,16,mom_to_mom_sweet_potato_corn_apple,1
2,17,a1_steak_sauce,1
2,58,coca_cola_glass_bottle,1
4,0,aunt_jemima_original_syrup,1
4,5,hersheys_cocoa,1
4,40,tapatio_hot_sauce,1
4,9,listerine_green,1
4,12,pringles_bbq,1
4,15,redbull,1
4,16,mom_to_mom_sweet_potato_corn_apple,1
4,17,a1_steak_sauce,1
4,58,coca_cola_glass_bottle,1
6,0,aunt_jemima_original_syrup,1
6,5,hersheys_cocoa,1
6,40,tapatio_hot_sauce,1
6,9,listerine_green,1
6,12,pringles_bbq,1
6,15,redbull,1
6,16,mom_to_mom_sweet_potato_corn_apple,1
6,17,a1_steak_sauce,1
6,58,coca_cola_glass_bottle,1
6,29,spam,1
8,0,aunt_jemima_original_syrup,1
8,5,hersheys_cocoa,1
8,40,tapatio_hot_sauce,1
8,9,listerine_green,1
8,11,white_rain_body_wash,1
8,12,pringles_bbq,1
8,15,redbull,1
8,16,mom_to_mom_sweet_potato_corn_apple,1
8,17,a1_steak_sauce,1
8,58,coca_cola_glass_bottle,1
10,0,aunt_jemima_original_syrup,1
10,5,hersheys_cocoa,1
10,40,tapatio_hot_sauce,1
10,9,listerine_green,1
10,11,white_rain_body_wash,1
10,12,pringles_bbq,1
10,15,redbull,1
10,17,a1_steak_sauce,2
10,58,coca_cola_glass_bottle,1
12,0,aunt_jemima_original_syrup,1
12,5,hersheys_cocoa,1
12,40,tapatio_hot_sauce,1
12,9,listerine_green,1
12,43,campbells_chicken_noodle_soup,1
12,12,pringles_bbq,1
12,15,redbull,1
12,17,a1_steak_sauce,2
12,56,monster_energy,1
12,58,coca_cola_glass_bottle,1
12,29,spam,1
14,0,aunt_jemima_original_syrup,1
14,5,hersheys_cocoa,1
14,40,tapatio_hot_sauce,1
14,9,listerine_green,1
14,11,white_rain_body_wash,1
14,12,pringles_bbq,1
14,15,redbull,1
14,17,a1_steak_sauce,2
14,56,monster_energy,1
14,58,coca_cola_glass_bottle,1
14,29,spam,1
16,0,aunt_jemima_original_syrup,1
16,5,hersheys_cocoa,1
16,40,tapatio_hot_sauce,1
16,9,listerine_green,1
16,12,pringles_bbq,1
16,15,redbull,1
16,17,a1_steak_sauce,2
16,56,monster_energy,1
16,58,coca_cola_glass_bottle,1
16,29,spam,1
18,0,aunt_jemima_original_syrup,1
18,5,hersheys_cocoa,1
18,40,tapatio_hot_sauce,1
18,9,listerine_green,1
18,12,pringles_bbq,1
18,15,redbull,1
18,17,a1_steak_sauce,2
18,56,monster_energy,1
18,58,coca_cola_glass_bottle,1
18,29,spam,1
20,0,aunt_jemima_original_syrup,1
20,5,hersheys_cocoa,1
20,40,tapatio_hot_sauce,1
20,9,listerine_green,1
20,12,pringles_bbq,1
20,15,redbull,1
20,17,a1_steak_sauce,2
20,56,monster_energy,1
20,58,coca_cola_glass_bottle,1
20,29,spam,1
22,0,aunt_jemima_original_syrup,1
22,5,hersheys_cocoa,1
22,40,tapatio_hot_sauce,1
22,9,listerine_green,1
22,11,white_rain_body_wash,1
22,12,pringles_bbq,1
22,15,redbull,1
22,16,mom_to_mom_sweet_potato_corn_apple,1
22,17,a1_steak_sauce,2
22,56,monster_energy,1
22,58,coca_cola_glass_bottle,1
22,29,spam,1
24,0,aunt_jemima_original_syrup,1
24,5,hersheys_cocoa,1
24,40,tapatio_hot_sauce,1
24,9,listerine_green,1
24,11,white_rain_body_wash,2
24,12,pringles_bbq,1
24,15,redbull,1
24,17,a1_steak_sauce,1
24,58,coca_cola_glass_bottle,1
26,0,aunt_jemima_original_syrup,1
26,5,hersheys_cocoa,1
26,40,tapatio_hot_sauce,1
26,9,listerine_green,1
26,11,white_rain_body_wash,1
26,12,pringles_bbq,1
26,15,redbull,1
26,17,a1_steak_sauce,2
26,56,monster_energy,1
26,58,coca_cola_glass_bottle,1
28,0,aunt_jemima_original_syrup,1
28,5,hersheys_cocoa,1
28,40,tapatio_hot_sauce,1
28,9,listerine_green,1
28,12,pringles_bbq,1
28,15,redbull,1
28,17,a1_steak_sauce,2
28,56,monster_energy,1
28,58,coca_cola_glass_bottle,1
30,0,aunt_jemima_original_syrup,1
30,5,hersheys_cocoa,1
30,40,tapatio_hot_sauce,1
30,9,listerine_green,1
