frame_idx,cam_id,class_id,class_name,count
4,0,17,a1_steak_sauce,1
4,0,12,pringles_bbq,1
4,0,0,aunt_jemima_original_syrup,1
4,0,15,redbull,1
4,1,56,monster_energy,1
4,1,9,listerine_green,1
4,1,51,campbells_chunky_classic_chicken_noodle,1
4,1,12,pringles_bbq,1
4,2,12,pringles_bbq,1
4,2,29,spam,1
4,2,11,white_rain_body_wash,1
4,2,3,cholula_chipotle_hot_sauce,1
4,2,9,listerine_green,1
4,3,9,listerine_green,1
4,3,56,monster_energy,1
4,3,38,palmolive_orange,1
4,3,12,pringles_bbq,1
4,3,3,cholula_chipotle_hot_sauce,2
4,3,17,a1_steak_sauce,1
4,3,39,crystal_hot_sauce,1
4,3,40,tapatio_hot_sauce,1
4,4,58,coca_cola_glass_bottle,1
4,4,29,spam,1
4,4,3,cholula_chipotle_hot_sauce,1
4,4,40,tapatio_hot_sauce,1
4,4,21,dr_pepper,1
4,4,17,a1_steak_sauce,1
4,4,12,pringles_bbq,1
4,4,51,campbells_chunky_classic_chicken_noodle,1
4,4,11,white_rain_body_wash,1
6,0,17,a1_steak_sauce,1
6,0,12,pringles_bbq,1
6,0,0,aunt_jemima_original_syrup,1
6,0,15,redbull,1
6,0,40,tapatio_hot_sauce,1
6,0,58,coca_cola_glass_bottle,1
6,1,56,monster_energy,1
6,1,9,listerine_green,1
6,1,51,campbells_chunky_classic_chicken_noodle,1
6,1,12,pringles_bbq,1
6,1,44,frappuccino_coffee,1
6,2,12,pringles_bbq,1
6,2,29,spam,1
6,2,11,white_rain_body_wash,1
6,2,3,cholula_chipotle_hot_sauce,1
6,2,9,listerine_green,1
6,3,9,listerine_green,1
6,3,56,monster_energy,1
6,3,38,palmolive_orange,1
6,3,12,pringles_bbq,1
6,3,3,cholula_chipotle_hot_sauce,2
6,3,17,a1_steak_sauce,1
6,3,39,crystal_hot_sauce,1
6,3,40,tapatio_hot_sauce,1
6,3,44,frappuccino_coffee,1
6,4,58,coca_cola_glass_bottle,1
6,4,29,spam,1
6,4,3,cholula_chipotle_hot_sauce,1
6,4,40,tapatio_hot_sauce,1
6,4,21,dr_pepper,1
6,4,17,a1_steak_sauce,1
6,4,12,pringles_bbq,1
6,4,51,campbells_chunky_classic_chicken_noodle,1
6,4,11,white_rain_body_wash,1
6,4,44,frappuccino_coffee,1
8,0,17,a1_steak_sauce,1
8,0,12,pringles_bbq,1
8,0,0,aunt_jemima_original_syrup,1
8,0,15,redbull,1
8,0,40,tapatio_hot_sauce,1
8,0,58,coca_cola_glass_bottle,1
8,1,56,monster_energy,1
8,1,9,listerine_green,1
8,1,51,campbells_chunky_classic_chicken_noodle,1
8,1,12,pringles_bbq,1
8,1,44,frappuccino_coffee,1
8,2,12,pringles_bbq,1
8,2,29,spam,1
8,2,11,white_rain_body_wash,1
8,2,3,cholula_chipotle_hot_sauce,1
8,2,9,listerine_green,1
8,3,9,listerine_green,1
8,3,56,monster_energy,1
8,3,38,palmolive_orange,1
8,3,12,pringles_bbq,1
8,3,3,cholula_chipotle_hot_sauce,2
8,3,17,a1_steak_sauce,1
8,3,39,crystal_hot_sauce,1
8,3,40,tapatio_hot_sauce,1
8,3,44,frappuccino_coffee,1
8,4,58,coca_cola_glass_bottle,1
8,4,29,spam,1
8,4,3,cholula_chipotle_hot_sauce,2
8,4,40,tapatio_hot_sauce,1
8,4,21,dr_pepper,1
8,4,17,a1_steak_sauce,1
8,4,12,pringles_bbq,1
8,4,51,campbells_chunky_classic_chicken_noodle,1
8,4,11,white_rain_body_wash,1
8,4,44,frappuccino_coffee,1
10,0,17,a1_steak_sauce,1
10,0,12,pringles_bbq,1
10,0,0,aunt_jemima_original_syrup,1
10,0,15,redbull,1
10,0,40,tapatio_hot_sauce,1
10,0,58,coca_cola_glass_bottle,1
10,1,56,monster_energy,1
10,1,9,listerine_green,1
10,1,51,campbells_chunky_classic_chicken_noodle,1
10,1,12,pringles_bbq,1
10,1,44,frappuccino_coffee,1
10,2,12,pringles_bbq,1
10,2,29,spam,1
10,2,11,white_rain_body_wash,1
10,2,3,cholula_chipotle_hot_sauce,1
10,2,9,listerine_green,1
10,2,17,a1_steak_sauce,1
10,3,9,listerine_green,1
10,3,56,monster_energy,1
10,3,38,palmolive_orange,1
10,3,12,pringles_bbq,1
10,3,3,cholula_chipotle_hot_sauce,2
10,3,17,a1_steak_sauce,1
10,3,39,crystal_hot_sauce,1
10,3,40,tapatio_hot_sauce,1
10,3,44,frappuccino_coffee,1
10,4,58,coca_cola_glass_bottle,1
10,4,29,spam,1
10,4,3,cholula_chipotle_hot_sauce,2
10,4,40,tapatio_hot_sauce,1
10,4,21,dr_pepper,1
10,4,17,a1_steak_sauce,1
10,4,12,pringles_bbq,1
10,4,51,campbells_chunky_classic_chicken_noodle,1
10,4,11,white_rain_body_wash,1
10,4,44,frappuccino_coffee,1
12,0,17,a1_steak_sauce,2
12,0,12,pringles_bbq,1
12,0,0,aunt_jemima_original_syrup,1
12,0,15,redbull,1
12,0,40,tapatio_hot_sauce,1
12,0,58,coca_cola_glass_bottle,1
12,1,56,monster_energy,1
12,1,9,listerine_green,1
12,1,51,campbells_chunky_classic_chicken_noodle,1
12,1,12,pringles_bbq,1
12,1,44,frappuccino_coffee,1
12,2,12,pringles_bbq,1
12,2,29,spam,1
12,2,11,white_rain_body_wash,1
12,2,3,cholula_chipotle_hot_sauce,1
12,2,9,listerine_green,1
12,2,17,a1_steak_sauce,1
12,3,9,listerine_green,1
12,3,56,monster_energy,1
12,3,38,palmolive_orange,1
12,3,12,pringles_bbq,1
12,3,3,cholula_chipotle_hot_sauce,2
12,3,17,a1_steak_sauce,1
12,3,39,crystal_hot_sauce,1
12,3,40,tapatio_hot_sauce,1
12,3,44,frappuccino_coffee,1
12,4,58,coca_cola_glass_bottle,1
12,4,29,spam,1
12,4,3,cholula_chipotle_hot_sauce,2
12,4,40,tapatio_hot_sauce,1
12,4,21,dr_pepper,1
12,4,17,a1_steak_sauce,1
12,4,12,pringles_bbq,1
12,4,51,campbells_chunky_classic_chicken_noodle,1
12,4,11,white_rain_body_wash,1
12,4,44,frappuccino_coffee,1
14,0,17,a1_steak_sauce,2
14,0,12,pringles_bbq,1
14,0,0,aunt_jemima_original_syrup,1
14,0,15,redbull,1
14,0,40,tapatio_hot_sauce,1
14,0,58,coca_cola_glass_bottle,1
14,1,56,monster_energy,1
14,1,9,listerine_green,1
14,1,51,campbells_chunky_classic_chicken_noodle,1
14,1,12,pringles_bbq,1
14,1,44,frappuccino_coffee,1
14,2,12,pringles_bbq,1
14,2,29,spam,1
14,2,11,white_rain_body_wash,1
14,2,3,cholula_chipotle_hot_sauce,1
14,2,9,listerine_green,1
14,2,17,a1_steak_sauce,1
14,3,9,listerine_green,1
14,3,56,monster_energy,1
14,3,38,palmolive_orange,1
14,3,12,pringles_bbq,1
14,3,3,cholula_chipotle_hot_sauce,2
14,3,17,a1_steak_sauce,1
14,3,39,crystal_hot_sauce,1
14,3,40,tapatio_hot_sauce,1
14,3,44,frappuccino_coffee,1
14,3,23,bulls_eye_bbq_sauce_original,1
14,4,58,coca_cola_glass_bottle,1
14,4,29,spam,1
14,4,3,cholula_chipotle_hot_sauce,2
14,4,40,tapatio_hot_sauce,1
14,4,21,dr_pepper,1
14,4,17,a1_steak_sauce,1
14,4,12,pringles_bbq,1
14,4,51,campbells_chunky_classic_chicken_noodle,1
14,4,11,white_rain_body_wash,1
14,4,44,frappuccino_coffee,1
16,0,17,a1_steak_sauce,2
16,0,12,pringles_bbq,1
16,0,0,aunt_jemima_original_syrup,1
16,0,15,redbull,1
16,0,40,tapatio_hot_sauce,1
16,0,58,coca_cola_glass_bottle,1
16,0,51,campbells_chunky_classic_chicken_noodle,1
16,1,56,monster_energy,1
16,1,9,listerine_green,1
16,1,51,campbells_chunky_classic_chicken_noodle,1
16,1,12,pringles_bbq,1
16,1,44,frappuccino_coffee,1
16,2,12,pringles_bbq,1
16,2,29,spam,1
16,2,11,white_rain_body_wash,1
16,2,3,cholula_chipotle_hot_sauce,1
16,2,9,listerine_green,1
16,2,17,a1_steak_sauce,1
16,3,9,listerine_green,1
16,3,56,monster_energy,1
16,3,38,palmolive_orange,1
16,3,12,pringles_bbq,1
16,3,3,cholula_chipotle_hot_sauce,2
16,3,17,a1_steak_sauce,1
16,3,39,crystal_hot_sauce,1
16,3,40,tapatio_hot_sauce,1
16,3,44,frappuccino_coffee,1
16,3,23,bulls_eye_bbq_sauce_original,1
16,4,58,coca_cola_glass_bottle,1
16,4,29,spam,1
16,4,3,cholula_chipotle_hot_sauce,2
16,4,40,tapatio_hot_sauce,1
